id,sentence
1,s f e
2,s l l f e
3,s f e
4,s r r f e
5,s f e
6,s r r f e
7,s p e
8,s r r f e
9,i l l
10,s p e
11,s l l r r p e
12,s l l r r f e
13,s l l r r f e
14,s r r r r p e
15,s r r f e
16,s r r f e
17,s l l f e
18,s r r f e
19,i l l l l
20,s p e
21,s r r e
22,s r r r r f e
23,s l l f e
24,s r r f e
25,s l l r r p e
26,s l l f e
27,i l l
28,s r r f e
29,s r r r r p e
30,s r r e
31,s f e
32,s l l p e
33,s f e
34,i l l l l
35,i l l l l
36,s l l f e
37,s r r f e
38,s r r r r f e
39,i l l l l
40,s r r r r f e
41,i l l l l
42,s l l f e
43,s l l f e
44,s r r r r f e
45,s e
46,s l l r r f e
47,s l l r r e
48,s r r r r f e
49,s l l f e
50,s r r r r f e
51,s r r r r f e
52,s l l f e
53,s l l r r f e
54,s r r r r f e
55,s r r f e
56,s r r f e
57,s r r e
58,s f e
59,s r r f e
60,i l l l l
61,s l l p e
62,s f e
63,s r r r r p e
64,s l l r r f e
65,s r r p e
66,s f e
67,s r r f e
68,i l l
69,s r r r r f e
70,i l l l l
71,i l l l l
72,s f e
73,s r r r r f e
74,s l l r r f e
75,s r r r r f e
76,i l l l l
77,s l l f e
78,s l l r r f e
79,s l l f e
80,s r r r r p e
81,s l l r r f e
82,s r r r r f e
83,s p e
84,s r r r r f e
85,s r r r r f e
86,i l l
87,s r r f e
88,s r r f e
89,s f e
90,i l l l l
91,s r r f e
92,i l l l l
93,s r r f e
94,s l l f e
95,i l l l l
96,s l l r r f e
97,s l l r r f e
98,s f e
99,s l l p e
100,s l l f e
101,s l l r r p e
102,s r r r r f e
103,s l l f e
104,s l l f e
105,s f e
106,s l l r r f e
107,s r r r r f e
108,s r r p e
109,s l l r r p e
110,s r r f e
111,s l l r r f e
112,s e
113,s l l r r p e
114,s p e
115,s l l r r p e
116,s l l r r f e
117,s p e
118,s r r p e
119,s r r p e
120,s f e
121,s l l r r e
122,s l l f e
123,i l l l l
124,i l l
125,i l l
126,i l l
127,s r r r r p e
128,s l l f e
129,s r r r r f e
130,s e
131,s l l p e
132,s r r f e
133,s r r f e
134,s l l f e
135,s r r r r f e
136,s f e
137,i l l l l
138,i l l l l
139,s r r r r f e
140,s r r r r f e
141,s r r r r f e
142,s r r r r e
143,s f e
144,s l l f e
145,s l l f e
146,s f e
147,s r r r r p e
148,s r r r r f e
149,s l l f e
150,s l l f e
151,s l l f e
152,s e
153,s f e
154,s r r r r p e
155,s l l r r f e
156,i l l l l
157,s l l f e
158,s r r r r p e
159,s r r r r f e
160,s l l p e
161,s l l f e
162,s r r f e
163,s r r r r f e
164,s l l p e
165,s r r r r f e
166,s r r f e
167,i l l l l
168,s l l r r p e
169,s f e
170,s l l r r e
171,s l l f e
172,s r r f e
173,s f e
174,s r r r r f e
175,s f e
176,s r r f e
177,s l l f e
178,s f e
179,s r r p e
180,s l l p e
181,s f e
182,s l l r r f e
183,s l l f e
184,s l l r r f e
185,s f e
186,s r r r r f e
187,s l l f e
188,s l l f e
189,s l l r r f e
190,s r r f e
191,i l l
192,s f e
193,s p e
194,s l l f e
195,i l l l l
196,s r r r r f e
197,s r r p e
198,s e
199,s l l r r p e
200,s l l e
201,s l l r r f e
202,s r r r r p e
203,s l l r r p e
204,s l l r r f e
205,s l l f e
206,s l l r r f e
207,s l l f e
208,s l l f e
209,s l l r r f e
210,s r r r r p e
211,s l l f e
212,s f e
213,s r r f e
214,s r r r r f e
215,s r r p e
216,s r r f e
217,s f e
218,s f e
219,s l l e
220,s r r f e
221,s r r f e
222,s r r r r f e
223,i l l l l
224,s p e
225,s l l r r f e
226,s r r r r f e
227,s l l r r f e
228,s r r r r f e
229,s f e
230,s r r e
231,s l l f e
232,s r r f e
233,s r r r r p e
234,i l l
235,s l l p e
236,i l l
237,s l l f e
238,s f e
239,s r r r r f e
240,s l l p e
241,s l l e
242,s l l f e
243,i l l
244,s l l e
245,s f e
246,s l l f e
247,s f e
248,s l l r r f e
249,s f e
250,s r r f e
251,s l l r r p e
252,s l l r r e
253,s r r f e
254,s r r r r f e
255,i l l
256,s l l f e
257,s r r f e
258,s l l r r f e
259,s r r e
260,s r r r r f e
261,s r r e
262,s r r r r e
263,s r r r r f e
264,s r r p e
265,s l l f e
266,s l l r r f e
267,s e
268,s r r f e
269,s r r r r f e
270,i l l l l
271,s p e
272,s l l f e
273,s l l r r e
274,s r r r r f e
275,i l l l l
276,s l l r r f e
277,s r r r r e
278,s l l r r f e
279,s r r r r e
280,s f e
281,s r r r r f e
282,s r r f e
283,s r r r r f e
284,s p e
285,s l l r r f e
286,s l l r r e
287,s f e
288,s l l r r p e
289,s r r r r f e
290,s r r r r f e
291,s r r r r e
292,s l l f e
293,s l l r r p e
294,s r r p e
295,s l l r r f e
296,s l l e
297,i l l l l
298,s f e
299,s r r r r f e
300,i l l
301,s r r f e
302,s r r r r f e
303,s f e
304,s l l f e
305,i l l
306,s r r f e
307,s l l r r e
308,s f e
309,s r r r r f e
310,s r r p e
311,s r r f e
312,s r r r r f e
313,i l l
314,i l l l l
315,s r r r r f e
316,s f e
317,s l l r r f e
318,s l l f e
319,s l l f e
320,s l l p e
321,s l l r r f e
322,s r r r r f e
323,s f e
324,s f e
325,s l l r r f e
326,i l l l l
327,s l l r r f e
328,s l l f e
329,s l l r r f e
330,i l l l l
331,s l l r r e
332,s r r p e
333,s r r r r f e
334,s l l f e
335,s l l r r f e
336,s p e
337,s l l r r f e
338,s l l r r e
339,s r r r r f e
340,i l l
341,s p e
342,s r r r r f e
343,s l l r r f e
344,s f e
345,s r r r r f e
346,i l l
347,s r r r r e
348,s f e
349,s l l r r f e
350,s f e
