history,next_token,ngram_count,history_count,probability
<s> i l,l,87,87,1.0
<s> s e,</s>,15,15,1.0
<s> s f,e,107,107,1.0
<s> s l,l,306,306,1.0
<s> s p,e,31,31,1.0
<s> s r,r,304,304,1.0
i l l,l,50,87,0.5747126436781609
i l l,</s>,37,87,0.42528735632183906
l f e,</s>,114,114,1.0
l l e,</s>,10,10,1.0
l l f,e,114,114,1.0
l l l,</s>,50,100,0.5
l l l,l,50,100,0.5
l l p,e,31,31,1.0
l l r,r,151,151,1.0
l p e,</s>,31,31,1.0
l r r,f,105,151,0.695364238410596
l r r,p,29,151,0.19205298013245034
l r r,e,17,151,0.11258278145695365
r f e,</s>,325,325,1.0
r p e,</s>,83,83,1.0
r r e,</s>,47,47,1.0
r r f,e,325,325,1.0
r r p,e,83,83,1.0
r r r,r,165,330,0.5
r r r,f,126,330,0.38181818181818183
r r r,p,25,330,0.07575757575757576
r r r,e,14,330,0.04242424242424243
s f e,</s>,107,107,1.0
s l l,r,151,306,0.4934640522875817
s l l,f,114,306,0.37254901960784315
s l l,p,31,306,0.10130718954248366
s l l,e,10,306,0.032679738562091505
s p e,</s>,31,31,1.0
s r r,r,165,304,0.5427631578947368
s r r,f,94,304,0.3092105263157895
s r r,p,29,304,0.09539473684210527
s r r,e,16,304,0.05263157894736842
