history,next_token,ngram_count,history_count,probability
<s>,s,763,850,0.8976470588235295
<s>,i,87,850,0.10235294117647059
e,</s>,763,763,1.0
f,e,546,546,1.0
i,l,87,87,1.0
l,l,493,886,0.5564334085778782
l,r,151,886,0.17042889390519186
l,f,114,886,0.12866817155756208
l,</s>,87,886,0.0981941309255079
l,p,31,886,0.034988713318284424
l,e,10,886,0.011286681715575621
p,e,145,145,1.0
r,r,785,1240,0.6330645161290323
r,f,325,1240,0.2620967741935484
r,p,83,1240,0.06693548387096775
r,e,47,1240,0.03790322580645161
s,l,306,763,0.40104849279161203
s,r,304,763,0.3984272608125819
s,f,107,763,0.1402359108781127
s,p,31,763,0.04062909567496723
s,e,15,763,0.019659239842726082
