history,next_token,combination_count,history_count,probability
<s>,s,763,850,0.8976470588235295
<s>,i,87,850,0.10235294117647059
<s> i,l,87,87,1.0
<s> i l,l,87,87,1.0
<s> i l l,l,50,87,0.5747126436781609
<s> i l l,</s>,37,87,0.42528735632183906
<s> i l l l,l,50,50,1.0
<s> i l l l l,</s>,50,50,1.0
<s> s,l,306,763,0.40104849279161203
<s> s,r,304,763,0.3984272608125819
<s> s,f,107,763,0.1402359108781127
<s> s,p,31,763,0.04062909567496723
<s> s,e,15,763,0.019659239842726082
<s> s e,</s>,15,15,1.0
<s> s f,e,107,107,1.0
<s> s f e,</s>,107,107,1.0
<s> s l,l,306,306,1.0
<s> s l l,r,151,306,0.4934640522875817
<s> s l l,f,114,306,0.37254901960784315
<s> s l l,p,31,306,0.10130718954248366
<s> s l l,e,10,306,0.032679738562091505
<s> s l l e,</s>,10,10,1.0
<s> s l l f,e,114,114,1.0
<s> s l l f e,</s>,114,114,1.0
<s> s l l p,e,31,31,1.0
<s> s l l p e,</s>,31,31,1.0
<s> s l l r,r,151,151,1.0
<s> s l l r r,f,105,151,0.695364238410596
<s> s l l r r,p,29,151,0.19205298013245034
<s> s l l r r,e,17,151,0.11258278145695365
<s> s l l r r e,</s>,17,17,1.0
<s> s l l r r f,e,105,105,1.0
<s> s l l r r f e,</s>,105,105,1.0
<s> s l l r r p,e,29,29,1.0
<s> s l l r r p e,</s>,29,29,1.0
<s> s p,e,31,31,1.0
<s> s p e,</s>,31,31,1.0
<s> s r,r,304,304,1.0
<s> s r r,r,165,304,0.5427631578947368
<s> s r r,f,94,304,0.3092105263157895
<s> s r r,p,29,304,0.09539473684210527
<s> s r r,e,16,304,0.05263157894736842
<s> s r r e,</s>,16,16,1.0
<s> s r r f,e,94,94,1.0
<s> s r r f e,</s>,94,94,1.0
<s> s r r p,e,29,29,1.0
<s> s r r p e,</s>,29,29,1.0
<s> s r r r,r,165,165,1.0
<s> s r r r r,f,126,165,0.7636363636363637
<s> s r r r r,p,25,165,0.15151515151515152
<s> s r r r r,e,14,165,0.08484848484848485
<s> s r r r r e,</s>,14,14,1.0
<s> s r r r r f,e,126,126,1.0
<s> s r r r r f e,</s>,126,126,1.0
<s> s r r r r p,e,25,25,1.0
<s> s r r r r p e,</s>,25,25,1.0
