article_id,authors,case_amount,doi,journal,journal_detail,keywords,license,link,major_mesh_terms,mesh_terms,pmcid,pmid,title,year
PMC5137649,"[C E Bailey, M B Fritz, L Webb, N B Merchant, A A Parikh]",1,10.1308/003588414X13824511649977,Ann R Coll Surg Engl,2014 Jan;96(1):88E-90E.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/24417851/,"[Cysts / diagnosis, Stomach / abnormalities, Stomach Diseases / diagnosis]","[Cysts / diagnosis, Stomach / abnormalities, Stomach Diseases / diagnosis, Case Reports, Review, Adult, Cysts / surgery, 'Diagnosis, Differential', Endoscopic Ultrasound-Guided Fine Needle Aspiration, Female, Humans, Pancreatic Cyst / diagnosis, Pancreatic Cyst / surgery, Stomach Diseases / surgery]",PMC5137649,24417851,Gastric duplication cyst masquerading as a mucinous pancreatic cyst: case report and literature review,2014
PMC9387390,"[Elias A Chamely, Bryan Hoang, Nadim S Jafri, Melissa M Felinski, Kulvinder S Bajwa, Peter A Walker, Jaideep Barge, Erik B Wilson, Putao Cen, Shinil K Shah]",1,10.4293/CRSLS.2021.00094,CRSLS,2022 Feb 25;9(1):e2021.00094.,"[delayed gastric emptying, endoscopy, gastric outlet obstruction, gastrojejunostomy, stent]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/36016812/,"[Adenocarcinoma / complications, Gastric Bypass / adverse effects, Gastric Outlet Obstruction / etiology, Gastroparesis / complications, Pancreatic Neoplasms / complications]","[Adenocarcinoma / complications, Gastric Bypass / adverse effects, Gastric Outlet Obstruction / etiology, Gastroparesis / complications, Pancreatic Neoplasms / complications, Case Reports, Humans, Male, Middle Aged]",PMC9387390,36016812,Palliative Endoscopic Salvage of a Functionally Obstructed Gastrojejunostomy - Report of Technique,2022
PMC3437073,[M Y Al-Naami],1,,J Family Community Med,1999 Jan;6(1):45-8.,"[abscess, spleen, tuberculous]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/23008596/,[],[Case Reports],PMC3437073,23008596,An unusual presentation of tuberculous splenic abscess,1999
PMC7102447,"[Zeid Nesheiwat, Pinang Shastri, Rohit Vyas, Cameron Burmeister, Robert Grande, Hazem Malas]",1,10.1155/2020/7842591,Case Rep Cardiol,2020 Jan 11;2020:7842591.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/32257451/,[],[Case Reports],PMC7102447,32257451,A Case of Acute Massive Bioprosthetic Mitral Valve Thrombosis Leading to Fulminant Heart Failure,2020
PMC6354154,"[Patrícia Alves, Inês Sá, Miguel Brito, Cátia Carnide, Osvaldo Moutinho]",1,10.1155/2019/2537480,Case Rep Obstet Gynecol,2019 Jan 16;2019:2537480.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/30792930/,[],[Case Reports],PMC6354154,30792930,An Early Diagnosis of an Ovarian Steroid Cell Tumor Not Otherwise Specified in a Woman,2019
PMC4782471,"[Amal M El-Sisi, Yasser M Menaissy, Samia A Bekheet]",1,10.4103/0974-2069.171355,Ann Pediatr Cardiol,2016 Jan-Apr;9(1):59-61.,"[infective endocarditis, pfm coil, ventricular septal defect]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/27011695/,[],[Case Reports],PMC4782471,27011695,Infective endocarditis following coil occlusion of perimembranous ventricular septal defect with the Nit-Occlud((®)) Le device,2016
PMC4835621,"[Irina Gringauz, Narin Nard Carmel-Neiderman, Tobin Mangel, Orith Portnoy, Gad Segal, Idan Goren]",1,10.1155/2016/1568586,Case Rep Hematol,2016;2016:1568586.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/27127663/,[],[],PMC4835621,27127663,Marked Improvement in Refractory TTP Directly after H. pylori Eradication Therapy,2016
PMC8627357,"[Mason Montano, Kevin Lee, Kushal Patel, Mutsumi Kioka]",1,10.1155/2021/7050775,Case Rep Crit Care,2021 Nov 20;2021:7050775.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/34845430/,[],[Case Reports],PMC8627357,34845430,Septic Pulmonary Embolism Causing Recurrent Pneumothorax in an Intravenous Drug User without Right-Sided Valvular Vegetation in Infective Endocarditis,2021
PMC5833205,"[Jessica Lacy Yasuda, Paul A Rufo]",1,10.1177/2324709618760078,J Investig Med High Impact Case Rep,2018 Feb 26;6:2324709618760078.,"[ple, anasarca, anemia, iron deficiency, protein-losing enteropathy, whole cow milk]",CC BY,https://pubmed.ncbi.nlm.nih.gov/29511696/,[],[],PMC5833205,29511696,Protein-Losing Enteropathy in the Setting of Severe Iron Deficiency Anemia,2018
PMC3917415,"[Sadaharu Tabuchi, Hiroki Yoshioka]",1,10.1186/1752-1947-8-30,J Med Case Rep,2014 Jan 27;8:30.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/24467808/,[],[],PMC3917415,24467808,Ruptured aneurysm at the fenestration of the middle cerebral artery detected by magnetic resonance angiography in a patient with systemic lupus erythematosus and renal failure: a case report,2014
